2,Lose Lil to Danny,true
3,Get hit in the eye by Danny,true
4,Walk into town seeking revenge,true
5,Book room at local saloon,false
6,Check into room and read Gideon's bible,false
7,Drink too much gin,false
8,Overhear Lil and Danny in neighboring room,false
9,Burst into neighboring room and declare a showdown,false
10,Get shot by Danny and collapse in corner,false
11,Visit doctor,false
12,Return to room and read Gideon's bible,false
13,Sing along! D'do d'do d'do do do d'do d'do d'do,false
14,aaa,false
15,aaa,false
16,add test task,false
17,add test task,false
